ID,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A682532,2014-07-03 17:01:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A666825,2013-11-08 13:24:00,Return_to_owner,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
A699723,2015-04-11 16:01:00,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A668626,2013-12-06 14:55:00,Euthanasia,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
A657085,2013-10-24 11:22:00,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
A682413,2014-07-02 13:37:00,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A702655,2015-08-11 00:00:00,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A707503,2015-07-14 12:16:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A697199,2015-04-04 17:26:00,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
A705598,2015-06-23 13:25:00,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668388,2013-12-09 15:04:00,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A671181,2014-01-21 15:15:00,Transfer,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
A676766,2014-05-28 15:52:00,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A686716,2014-08-27 07:50:00,Return_to_owner,Dog,Neutered Male,12 years,Beagle,Tricolor
A684475,2014-08-05 11:15:00,Return_to_owner,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
A701804,2015-05-05 11:46:00,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A697852,2015-03-09 17:57:00,Adoption,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
A666092,2013-10-30 15:37:00,Euthanasia,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
A684050,2014-07-28 09:00:00,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A710107,2015-10-19 18:58:00,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A682347,2014-06-26 17:16:00,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
A701627,2015-05-14 12:07:00,Adoption,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
A690902,2014-11-18 16:05:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A712979,2015-10-04 15:02:00,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
A707687,2015-08-16 13:52:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A683443,2014-07-18 16:23:00,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
A597644,2014-09-16 14:05:00,Return_to_owner,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
A682784,2014-07-07 12:38:00,Adoption,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
A709863,2015-08-19 13:32:00,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A678506,2014-05-09 18:07:00,Euthanasia,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
A713029,2015-10-06 15:07:00,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A712236,2015-09-23 11:45:00,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
A683961,2014-07-17 17:31:00,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A714740,2015-10-27 18:32:00,Return_to_owner,Dog,Spayed Female,6 years,Maltese Mix,White
A691847,2014-12-08 15:53:00,Transfer,Dog,Neutered Male,6 months,Pointer Mix,Black/White
A711392,2015-09-08 15:31:00,Transfer,Dog,Intact Female,2 months,English Foxhound,Buff
A705258,2015-06-16 09:00:00,Transfer,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
A678172,2014-05-10 18:18:00,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
A676736,2014-04-30 17:55:00,Adoption,Dog,Neutered Male,2 months,Vizsla Mix,Brown
A701575,2016-01-29 14:53:00,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A674913,2014-03-25 18:15:00,Adoption,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
A706446,2015-08-18 11:32:00,Return_to_owner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A669540,2013-12-28 16:17:00,Return_to_owner,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
A709371,2015-08-19 14:28:00,Transfer,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A681410,2014-06-22 17:22:00,Adoption,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
A675021,2014-03-21 17:09:00,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A704179,2015-06-07 16:07:00,Adoption,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
A717839,2015-12-20 19:38:00,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
A700740,2015-12-17 12:10:00,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
A712376,2015-09-22 12:10:00,Euthanasia,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
A703952,2015-05-30 18:56:00,Transfer,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
A713690,2015-10-12 09:00:00,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
A691838,2015-02-09 17:17:00,Euthanasia,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
A687789,2014-09-14 18:51:00,Adoption,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
A704754,2015-07-18 15:37:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A707531,2015-07-14 15:04:00,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A677594,2014-04-26 18:00:00,Transfer,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
A667155,2013-11-18 15:56:00,Adoption,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
A717147,2015-12-15 14:16:00,Adoption,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
A687012,2016-02-07 14:54:00,Adoption,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
A676200,2014-04-10 11:49:00,Transfer,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
A676680,2015-02-06 18:56:00,Euthanasia,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
A688443,2014-12-29 15:11:00,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A715261,2015-11-15 14:06:00,Adoption,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
A717008,2015-12-06 15:12:00,Transfer,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
A683416,2014-07-14 19:28:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A690658,2014-10-24 09:00:00,Transfer,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
A695155,2015-01-14 16:18:00,Adoption,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
A679721,2014-05-29 17:43:00,Adoption,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
A719113,2016-01-28 12:05:00,Transfer,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
A665298,2013-10-16 11:50:00,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
A708351,2015-07-26 14:40:00,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A670681,2014-01-30 14:41:00,Transfer,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A699990,2015-04-08 18:06:00,Return_to_owner,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
A707767,2015-07-19 18:27:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A668362,2013-12-20 12:02:00,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A674577,2014-03-23 18:43:00,Adoption,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
A674802,2014-03-29 11:26:00,Return_to_owner,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
A672410,2014-02-11 18:16:00,Return_to_owner,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
A657753,2013-12-06 16:53:00,Euthanasia,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,2013-10-20 16:37:00,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
A678229,2014-05-06 15:59:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A698694,2015-07-06 15:48:00,Transfer,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
A695971,2015-01-26 16:23:00,Euthanasia,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
A674233,2014-03-22 15:38:00,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A713392,2015-11-05 00:00:00,Transfer,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
A713968,2015-10-24 18:29:00,Transfer,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
A701428,2015-05-03 16:59:00,Return_to_owner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
A676146,2014-04-14 17:00:00,Return_to_owner,Dog,Neutered Male,5 years,Dachshund Mix,Black
A679259,2014-05-26 11:22:00,Adoption,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
A688223,2014-09-21 14:15:00,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A691968,2014-11-14 11:57:00,Euthanasia,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
A688871,2014-10-03 18:43:00,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A674530,2014-09-11 17:03:00,Adoption,Dog,Neutered Male,5 years,Pit Bull,Black
A718604,2016-01-31 17:22:00,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
A686520,2014-08-24 09:00:00,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A699094,2015-03-22 18:40:00,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A394547,2015-01-25 11:15:00,Return_to_owner,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
A662685,2015-10-22 17:18:00,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
A713977,2015-10-26 18:39:00,Return_to_owner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707781,2016-01-15 14:03:00,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A694699,2015-01-09 15:28:00,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A696350,2015-12-15 17:30:00,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
A679102,2014-06-10 16:41:00,Transfer,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A698341,2015-05-16 15:19:00,Return_to_owner,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
A681481,2014-06-18 09:00:00,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
A714177,2015-10-20 09:00:00,Transfer,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
A689601,2014-11-23 18:55:00,Adoption,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,2014-08-05 13:20:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A672453,2014-02-16 19:38:00,Adoption,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
A719480,2016-02-09 16:31:00,Transfer,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
A702880,2015-06-28 15:33:00,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A714494,2015-11-01 19:11:00,Adoption,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
A711853,2015-11-07 19:14:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A688720,2014-09-26 18:09:00,Adoption,Dog,Spayed Female,1 year,Dachshund Mix,Tan
A689690,2014-10-22 14:37:00,Transfer,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
A679915,2014-06-01 17:48:00,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A687991,2014-09-12 18:38:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
A707896,2016-02-19 14:58:00,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A702014,2015-11-14 13:30:00,Adoption,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
A673626,2014-03-03 16:58:00,Transfer,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
A652097,2014-02-10 12:34:00,Return_to_owner,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
A685180,2014-09-27 12:25:00,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Red
A707442,2015-08-15 11:32:00,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A682599,2014-07-03 18:45:00,Adoption,Cat,Spayed Female,4 months,Domestic Longhair,Calico
A685452,2014-08-11 15:17:00,Transfer,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
A688067,2014-09-15 09:00:00,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
A714069,2015-12-16 11:28:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
A705924,2015-07-29 15:41:00,Transfer,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
A717167,2016-01-23 16:05:00,Adoption,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
A711639,2015-09-10 11:35:00,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
A716760,2015-12-06 17:08:00,Adoption,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
A709048,2015-08-08 17:58:00,Adoption,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
A719048,2016-01-13 11:43:00,Return_to_owner,Dog,Spayed Female,8 years,Maltese,White
A707437,2015-07-19 17:26:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A706387,2015-07-06 18:05:00,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
A720668,2016-02-15 18:30:00,Return_to_owner,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
A679341,2014-05-31 13:58:00,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A690519,2014-10-23 09:00:00,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
A708769,2015-08-01 11:54:00,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
A681462,2014-08-10 16:25:00,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
A666444,2013-11-04 15:50:00,Transfer,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
A701153,2015-06-25 09:31:00,Adoption,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
A710071,2015-09-01 00:00:00,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A714602,2015-10-29 18:44:00,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A700707,2015-04-20 14:41:00,Adoption,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
A702563,2015-05-25 11:26:00,Return_to_owner,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
A679441,2014-05-21 13:47:00,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White
A715729,2015-11-09 13:24:00,Return_to_owner,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
A716575,2015-12-22 00:00:00,Transfer,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
A714462,2015-11-14 13:26:00,Return_to_owner,Dog,Spayed Female,1 year,Pointer Mix,White/Black
A717429,2015-12-09 17:05:00,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A687336,2014-09-03 18:51:00,Transfer,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
A713364,2015-11-13 11:53:00,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A701999,2015-05-12 17:39:00,Adoption,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
A664304,2013-10-03 12:27:00,Transfer,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby
A698066,2015-03-07 12:50:00,Transfer,Dog,Spayed Female,4 years,German Shepherd Mix,White
A680585,2014-07-16 17:48:00,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A699715,2015-05-13 11:51:00,Transfer,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
A702246,2015-05-15 17:47:00,Adoption,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
A711918,2015-09-19 14:33:00,Adoption,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
A676430,2014-11-23 12:43:00,Adoption,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
A677577,2014-05-01 16:12:00,Adoption,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
A683666,2015-09-01 00:00:00,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby
A713754,2015-10-27 16:44:00,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
A703631,2015-07-03 18:50:00,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A676209,2014-07-24 15:02:00,Adoption,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
A667508,2013-11-19 18:30:00,Return_to_owner,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
A671105,2014-01-21 15:20:00,Transfer,Cat,Unknown,1 year,Domestic Longhair Mix,Black
A676056,2014-04-10 10:13:00,Return_to_owner,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
A667963,2013-11-30 18:48:00,Adoption,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
A702207,2015-05-10 17:16:00,Euthanasia,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
A672065,2014-04-08 12:50:00,Adoption,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
A688852,2014-10-18 18:48:00,Adoption,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
A705885,2015-06-27 18:24:00,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A670949,2014-02-01 11:13:00,Return_to_owner,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
A665666,2013-12-27 15:49:00,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A714575,2015-10-31 15:18:00,Transfer,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
A690480,2014-10-22 17:46:00,Transfer,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
A691636,2014-11-13 16:07:00,Adoption,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
A678482,2014-05-14 19:15:00,Adoption,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
A687785,2014-12-30 09:38:00,Adoption,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
A716839,2015-11-27 14:06:00,Return_to_owner,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
A718547,2016-01-11 14:23:00,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
A687989,2014-09-12 18:38:00,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A694408,2015-05-28 13:14:00,Transfer,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
A698940,2015-03-21 09:00:00,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A666074,2013-10-30 15:14:00,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A675549,2014-04-08 15:29:00,Transfer,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
A682131,2014-06-24 19:15:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A674737,2014-05-27 08:21:00,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A719876,2016-02-02 15:58:00,Transfer,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
A676626,2014-05-30 16:54:00,Adoption,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
A666478,2013-11-04 17:51:00,Adoption,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
A683507,2014-07-15 17:26:00,Adoption,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
A487470,2014-01-20 18:40:00,Euthanasia,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black
A665661,2015-09-07 15:05:00,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black
A668260,2013-12-02 14:10:00,Transfer,Dog,Spayed Female,5 years,Great Dane,Black/White
A716964,2015-11-29 18:11:00,Return_to_owner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White
A701029,2015-05-01 11:04:00,Return_to_owner,Dog,Neutered Male,2 years,Chesa Bay Retr,Brown
A668506,2015-11-03 16:40:00,Return_to_owner,Dog,Neutered Male,7 years,German Shepherd,Brown/Black
A684709,2014-07-28 09:00:00,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A616229,2015-11-21 15:21:00,Adoption,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black/White
A680336,2014-07-12 20:04:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A701898,2015-05-10 18:38:00,Return_to_owner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/Black
A666971,2013-11-14 17:14:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A691605,2014-11-08 14:41:00,Return_to_owner,Dog,Spayed Female,6 years,Plott Hound Mix,Brown Brindle
A703244,2015-05-26 16:02:00,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A705111,2015-06-24 15:25:00,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black
A685460,2014-08-19 18:25:00,Adoption,Cat,Neutered Male,7 years,Siamese Mix,Flame Point
A716890,2015-12-06 12:41:00,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A715741,2015-11-19 18:45:00,Adoption,Dog,Neutered Male,3 years,Chow Chow Mix,Red
A676334,2014-04-22 15:35:00,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
A668122,2013-12-01 17:58:00,Adoption,Dog,Spayed Female,7 years,English Pointer,Liver/White
A702356,2015-05-24 17:25:00,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Blue Tabby
A664842,2013-11-09 19:21:00,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
